"state1","statename1","mi_to_state","state2","statename2"
"04","Arizona",792.063236160957,"20","Kansas"
"04","Arizona",804.839264204114,"40","Oklahoma"
"04","Arizona",817.358148920426,"31","Nebraska"
"04","Arizona",828.855610762961,"41","Oregon"
"04","Arizona",893.140180811903,"30","Montana"
"04","Arizona",930.436863515817,"46","South Dakota"
"04","Arizona",1024.97635003181,"53","Washington"
"04","Arizona",1082.37808334847,"38","North Dakota"
"04","Arizona",1089.55302900914,"05","Arkansas"
"04","Arizona",1101.81306896596,"29","Missouri"
"04","Arizona",1120.68396058094,"19","Iowa"
"04","Arizona",1174.34172539467,"22","Louisiana"
"04","Arizona",1236.50566442247,"27","Minnesota"
"04","Arizona",1267.13073098273,"28","Mississippi"
"04","Arizona",1297.37921861638,"17","Illinois"
"04","Arizona",1365.74105492919,"55","Wisconsin"
"04","Arizona",1427.03515870234,"01","Alabama"
"04","Arizona",1429.23729144224,"47","Tennessee"
"04","Arizona",1444.87887721993,"18","Indiana"
"04","Arizona",1485.84080901599,"21","Kentucky"
"04","Arizona",1555.99336462306,"26","Michigan"
"04","Arizona",1623.58437746327,"13","Georgia"
"04","Arizona",1636.35390279784,"39","Ohio"
"04","Arizona",1741.00797264291,"54","West Virginia"
"04","Arizona",1753.811803353,"45","South Carolina"
"04","Arizona",1761.6283638531,"12","Florida"
"04","Arizona",1834.60890555649,"37","North Carolina"
"04","Arizona",1848.72714197485,"51","Virginia"
"04","Arizona",1894.17618668195,"42","Pennsylvania"
"04","Arizona",1934.864901114,"11","District of Columbia"
"04","Arizona",1953.21044507892,"24","Maryland"
"04","Arizona",2018.72385957027,"36","New York"
"04","Arizona",2019.00760855627,"10","Delaware"
"04","Arizona",2059.02715883916,"34","New Jersey"
"04","Arizona",2159.57842395664,"09","Connecticut"
"04","Arizona",2171.55967217778,"50","Vermont"
"04","Arizona",2222.70135061232,"44","Rhode Island"
"04","Arizona",2223.94000804347,"33","New Hampshire"
"04","Arizona",2224.80422625896,"25","Massachusetts"
"04","Arizona",2374.93560709394,"23","Maine"
"04","Arizona",2667.34350309508,"02","Alaska"
"04","Arizona",2854.39598251806,"15","Hawaii"
"04","Arizona",2982.5596471003,"72","Puerto Rico"
"05","Arkansas",221.190564201914,"28","Mississippi"
"05","Arkansas",238.733890404601,"29","Missouri"
"05","Arkansas",281.450976973059,"22","Louisiana"
"05","Arkansas",288.508787955111,"40","Oklahoma"
"05","Arkansas",349.706779707847,"47","Tennessee"
"05","Arkansas",354.279978858732,"01","Alabama"
"05","Arkansas",402.429842252498,"17","Illinois"
"05","Arkansas",412.4185376492,"20","Kansas"
"05","Arkansas",438.198130035838,"21","Kentucky"
